manually_labelled_snetiment,comment_id,author,text,published_at,likes
positive,Ugyeyw_CRvsoVhzlfjl4AaABAg,@jiminpov,OH MY GOD,2025-12-15T16:26:46Z,0
neutral,UgzsfA-u6Q5COe-HaJ14AaABAg,@Ariamakessubs,"YOU DIE , I DIE?!!! NONE YOU YOU DYING PLEASE!",2025-12-15T14:06:38Z,0
neutral,Ugxhn7ELgueLbjCuwvB4AaABAg,@M4ntoon,Ima accept the fact that Steve and Dustin is cooked,2025-12-15T16:30:10Z,0
positive,UgxaaDWOyPo-P0vTcEN4AaABAg,@Tarantino171,PEAKKKKK,2025-12-15T14:39:32Z,0
neutral,UgzilN26ufHl6IP6F6B4AaABAg,@BuckyBarnesNC,"Shit not the you die, I die. I can’t lose my 2 favorites!!! My Steve Harrington Car Funko Pop with him comes tomorrow. Nope can’t lose him and Dustin! Nope!",2025-12-16T05:02:58Z,0
neutral,UgyfbpHdJ0zBdxssSWJ4AaABAg,@simpleVibeswithankira,Are u serious if you die we die,2025-12-16T07:39:26Z,0
positive,Ugz3JEIOcTWOAGq1OZN4AaABAg,@subbingtoeveryonethatsubst6920,Feels like my whole childhood ends with this…what a journey it’s been😢,2025-12-15T15:27:11Z,0
neutral,UgzKiNyDn6ipjCoAIbh4AaABAg,@piyush-c6o6l,"Fans want Steve to die heroically, but not like… actually die",2025-12-16T04:07:47Z,1
positive,Ugymnl_T_oZcIzTmgX94AaABAg,@Itzbry17gmd,this volume bouta be dope,2025-12-24T21:33:41Z,0
neutral,UgzSDdluapOP5gaQlbN4AaABAg,@AnsilMahin,don't die,2025-12-16T13:10:16Z,0
positive,Ugwr4kbtP9lVRZqTQ1p4AaABAg,@BlackStarASMR,"Season 1: A brillant unique story.
Season 5: Special effects and generic Marvel superheroes.",2025-12-15T14:49:51Z,0
neutral,UgxUVn2ssFyj_ui_V4h4AaABAg,@tabudivekar,"You die, I die!
Me: Me too😢",2025-12-15T17:46:08Z,0
positive,UgzQ3-C3Q_8zqncjtoV4AaABAg,@yeashizzo,Peak,2025-12-15T16:10:48Z,0
netural,Ugzhto0TnQEDys6LHph4AaABAg,@Dan-w1b,Seaosn 2 flashbacks. from hospital 😭 anyway.. if karen and ted are in the same hospital as max….. and demodogs are in there. yeah i dunno.,2025-12-24T18:38:59Z,1
neutral,Ugyyd04LTURD_hnds014AaABAg,@Boonatix,Damn Zombie Groot looks really pissed ^-^,2025-12-15T14:59:27Z,0
neutral,Ugy-tYAPs2_0XfPDJpR4AaABAg,@Demonflo2,Steve  don't die this is my request 🥲,2025-12-16T17:39:18Z,0
positive,UgwnQbGBz9QkzXOM7xN4AaABAg,@TheEclipse2977,"At 0:37, the clock behind El reads 7:31 and 7 + 3 + 1 = 11. Cool detail",2025-12-15T16:48:04Z,2
neutral,Ugy_DYhkHMyDaLLwijB4AaABAg,@CrowFlame404,I THOUGHT they were going ALL SOLDIER THIS SEASON!!!,2025-12-15T14:56:28Z,0
neutral,Ugx5f_EUDTf03dtv_E54AaABAg,@suffinlissdiaries,"if steve dies, im telling every child i see that santa isnt real",2025-12-20T04:32:30Z,0
neutral,Ugyl6h8tu3Im0AXr3a54AaABAg,@ISLAMICVIDEOS79,"اَللّٰهُمَّ صَلِّ عَلٰی مُحَمَّدٍ وَّعَلٰٓی اٰلِ مُحَمَّدٍ كَمَا صَلَّيْتَ عَلٰٓی اِبْرَاهِيْمَ وَعَلٰٓی اٰلِ اِبْرَاهِيْمَ اِنَّكَ حَمِيْدٌ مَّجِيْدٌ۔
اَللّٰهُمّ بَارِكْ عَلٰى مُحَمَّدٍ وَّعَلٰٓی اٰلِ مُحَمَّدٍ كَمَا بَارَكْتَ عَلٰٓی اِبْرَاهِيْمَ وَعَلٰٓی اٰلِ اِبْرَاهِيْمَ اِنَّكَ حَمِيْدٌ مَّجِيْدٌ۔",2025-12-17T04:00:07Z,1
positive,Ugw_10Wvw0J_kBfwicV4AaABAg,@MinhosWifeyyy,KALI IS BACK YESS,2025-12-17T17:04:05Z,0
neutral,UgzkfT9OB4JTqjsh7pR4AaABAg,@waunglong3132,“ you die I die “ 😢how about nobody dies 😂that’ll be better for my heart,2025-12-15T14:20:42Z,0
positive,UgwVI52CDNfRCO3wMxt4AaABAg,@hatefr33,"Let me guess, this supposed to be Netflix’s gift to everybody for Christmas and new years huh?

Well at least someone thought about me for the holidays 🥲🙏🏽",2025-12-16T17:01:48Z,0
negative,Ugyeuw1zWlBwrurY5DR4AaABAg,@avaryahbhardwaj2652,"“You die, I die” does this mean that either Steve or Dustin will die? They’re cooked",2025-12-15T17:36:09Z,0
neutral,UgzRmPDsCBaXeawxWJF4AaABAg,@deliveries_,Just put the fries in the bag and public it,2025-12-16T14:35:28Z,0
neutral,Ugx1_tNtFcVA2p5EnqV4AaABAg,@cow3oyvsgaming815,1.38 I can't make out who this is... It's a little tricky to catch on a pause. Whoever it is something definitely happens to them,2025-12-16T17:13:57Z,0
neutral,UgxlkWZ104lCzQFyXY94AaABAg,@mansichaudhary6029,WTF DID I JUST WATCHED,2025-12-15T14:28:23Z,1
neutral,UgxwWmifOI6RErAIlOB4AaABAg,@electred300llj3,🔥🔥🔥,2025-12-15T13:53:25Z,0
neutral,Ugxth7MALbjZCQdN2cx4AaABAg,@boo4961,"You die, i die

You die, i die

😢😢😢😢😢😢😢😢",2025-12-16T13:42:12Z,0
positive,UgyeIsPjTLLMpGWilXJ4AaABAg,@matthewgilliland6864,"I am so Hyped Now!!!

I don't even care about family, presents and all of the classic Christmas stuff.

I need it to be December 25th for Stranger Things.

We might have to change it to Stranger Things Day...",2025-12-17T22:15:04Z,0
neutral,UgwakOR6Ps2ObeoMiox4AaABAg,@DenjiKunn-vq9qe,Endgame,2025-12-15T15:37:53Z,0
positive,Ugzz0hwuT2yn1cpKRoJ4AaABAg,@artemisapollo9983,Wow. Netflix trailer team better be getting a fat Christmas bonus. They never miss,2025-12-15T17:17:21Z,225
neutral,UgzCzVYElPvsD6GVkJd4AaABAg,@SavageGirl-f9x,Jis jiska stranger things favorite hai like kro❤,2025-12-15T15:27:56Z,1
positive,UgwuimT4eeUL5NdKlAp4AaABAg,@Valmiki168,Stunning!,2025-12-15T15:33:07Z,0
neutral,Ugyfgg88P0KfiNaVaPx4AaABAg,@davidoestrado1818,El's the new airbender?,2025-12-25T01:36:20Z,0
positive,Ugz_V75f9PgQQ6wsesR4AaABAg,@ADIYUL_ALONSO,0:49 This part is truly awesome—absolutely thrilling. What an incredible trailer!!,2025-12-16T05:48:25Z,1
neutral,UgwF6Cyfi8dzAjqKmOV4AaABAg,@arcane__official,0:46 Getting DARK vibes.... Hope it ain't as complex as DARK,2025-12-16T06:39:45Z,0
neutral,UgwVUSvjt9ttQ3LAesJ4AaABAg,@PRitam-Roy74,I watched it in 0.25x,2025-12-16T03:27:00Z,0
neutral,Ugw36nhaG_sMc9NmS4F4AaABAg,@nobi7650,"You die 
I die",2025-12-15T14:32:24Z,0
positive,UgyLU6es5v4ZMNM1c414AaABAg,@bel_lin8834,This is going to be intense 😬 this show has me on edge!!!,2025-12-15T15:38:34Z,0
neutral,Ugwgd4gyuTuVSQc8gHh4AaABAg,@Mingasmr,Wait who is Dustin hugging im like slow,2025-12-15T21:22:24Z,0
neutral,Ugyh_Cp1SFUYe0EKsK54AaABAg,@Medicoman5,"Eleven ,her sister and will gonna rock this season with their power 
And vecna gonna get out of the world 😅😆💙",2025-12-16T15:06:35Z,0
neutral,UgzysOqA0Gg7S9IF7zR4AaABAg,@mihirpatil_,"Steve: you die, i die
Dustin: you die, i die
Audience: Duffer Brothers die",2025-12-16T09:28:39Z,1
neutral,UgwdxPtRsx0Paqzk5Ad4AaABAg,@abbynew4188,"""you die, I die""

THE SEASON 3 CALLBACK BUT AT WHAT COST THEY CAN'T DIE",2025-12-15T14:48:41Z,0
neutral,UgzU5OEqNZg1kgect4R4AaABAg,@lifedeather,0:41 when you discover the girl you kidnapped ran away,2025-12-15T20:08:12Z,0
positive,UgyDJHvRCIp-dAfGJMl4AaABAg,@getzubair91,No doubt The Greatest Shown on Earth 🎉,2025-12-16T12:53:05Z,0
neutral,UgzV4eyN6qqJJgcRRqJ4AaABAg,@martak1478,"The line If you die I die somehow reminds me of famous Titanic line If you jump I jump, which means that they are both willing to sacrifice for each other.",2025-12-16T20:20:35Z,4
neutral,Ugyhu4o0wjqzKG1RbER4AaABAg,@EstebanSmidt,Did anyone else noticed the Stephen King reference?,2025-12-16T23:59:46Z,0
positive,UgwjeVdaS47D3Ab_Qzp4AaABAg,@drgirlfriend211,Damn Nancy with her guns…..I’m so here for her constant badassery💪🏽💪🏽💪🏽💪🏽💪🏽,2025-12-16T01:41:06Z,3
neutral,UgwYQMzxqQqFbB0diWJ4AaABAg,@NickJones-b4p,"Something unbelievable is going to happen for sure and still praying for safety of Steve and Dustin.

""YOU DIE, I DIE"" 😢 💔",2025-12-15T14:07:11Z,1
neutral,Ugz6Hl2uG8Qa9nWT8-Z4AaABAg,@HANAA___1-f1e,Does vecna had a glowup again🤔,2025-12-15T13:58:37Z,0
negative,UgzNWizpORp56Xol9Ap4AaABAg,@nerakeemia,The most annoying release schedule smh,2025-12-16T02:25:00Z,0
negative,UgzdCIHbg4Bzy5v46Gd4AaABAg,@Satoru-y7w,Where tf is the second trailer,2025-12-22T08:50:45Z,0
positive,UgyE2FsiTAEf8nlNqZx4AaABAg,@Dandy-h1m,The videos was so good,2025-12-26T08:52:21Z,0
positive,Ugy1jeQlQoixJjDWvBx4AaABAg,@gaiamorgosi7181,"Can I just say that the Steve/Dustin relationship is one of the best (or the best even) soulmate relationship without any need for romantic involvement in a looooong time? Those two are incredibly bro-coded and portray a wonderful dynamic between the two of them, they show that pure love comes in all forms and from unexpected ways. That being said, Netflix, if you dare killing either of them, I am unsubscribing from the platform.",2025-12-15T15:42:21Z,2
neutral,UgxM3OsMuW5Wrm0O-AB4AaABAg,@chanchalmasih8447,1:05 is vickie going to die ?? Poor robin😢😢😢,2025-12-15T17:51:07Z,0
neutral,UgzZtJm0sJzdA35qA254AaABAg,@nothingmatter-eyo,Let's see vecna is not what we are told he is.,2025-12-16T05:26:56Z,0
positive,UgwgXV6DVrexPD1G9iR4AaABAg,@AryanNarula,this trailer is epic! volume 2 gonna be crazy. 🤯❤️,2025-12-16T04:12:52Z,0
neutral,Ugz7U18UBW5pr52swJN4AaABAg,@RakhalVibe,Spoiler - Steve Won't Die (Wait & Watch),2025-12-15T15:14:07Z,0
neutral,UgwSDlE-PJFItSW3f954AaABAg,@annev5932,Will Justin or Steve die? Noooooooo 😢,2025-12-16T14:32:00Z,0
positive,UgwH-8rB96GgZn7yypR4AaABAg,@ajithraj294,El is something cooked on at peak 🥵,2025-12-15T16:41:36Z,0
neutral,UgzTe61bHhtyPOBpPl54AaABAg,@ImMagiYT,10 years sense it started and 10 days till is ends.,2025-12-15T16:41:54Z,1
neutral,UgyIleXT7jtBMq5Bzb14AaABAg,@semiheren_1903,👌👌👌👌👌,2025-12-15T18:03:38Z,0
neutral,Ugzq9EjlT9oNRRSCi214AaABAg,@gagansingh-i8w,"I AM LITRALLY STEAVE HARINGTON IN MY SCHOOL,I POOP ON MY TEACHERS FACE HEHEEE",2025-12-15T13:58:15Z,0
neutral,Ugzb-BJmMEp_VjsbUxN4AaABAg,@antimczenko,"I don't like how Dustin becomes the lone wolf... Not a good sign, at all...",2025-12-16T12:33:51Z,0
neutral,Ugzphz6qcZl07YoH9zp4AaABAg,@patricioflota5358,Pennywise patrona de Vecna 👁️👄👁️,2025-12-15T14:07:27Z,0
neutral,UgwIIqWMHGoj5yVwXOt4AaABAg,@TraytonHess,I hope the finale season going open up intense or good.👍💯,2025-12-15T15:11:54Z,0
neutral,UgxHeZ6NAxafG60Yp_14AaABAg,@brandonsantiago2298,So I guess when Vecna said to Will “you’re going to help me one last time” it was all fake.,2025-12-21T17:18:00Z,0
neutral,UgzL4U07ZQ6O_szP11l4AaABAg,@KayKessler-cy2zl,Kali 🔥,2025-12-16T08:13:45Z,1
neutral,Ugw_VVAcLXOiaDF5B_F4AaABAg,@HomeCinemaCafe,1:23 holly run where is max 😢,2025-12-15T13:54:10Z,0
neutral,UgzsXzLDMuG0gepH6Kt4AaABAg,@EmilioScary13,10 DAYS,2025-12-15T15:13:17Z,0
neutral,UgwzREvPKR8EZBjGwDZ4AaABAg,@OPmusicoffical,My mom will have to drag me kicking and screaming to the christmas dinner after i watch steve sacrifice himself for dustin 😔,2025-12-15T16:30:31Z,0
positive,UgyMOFzD81jlCPS0H994AaABAg,@metro9667,Yeeeeeees,2025-12-15T15:23:50Z,0
neutral,UgxJZwbzu0y73ja0Fux4AaABAg,@Bennybo_BOSS,"“You die, I die”
OH HELL NAH",2025-12-15T14:37:12Z,1
neutral,UgyKRG1lEOkf8NJss1d4AaABAg,@Banish_4_Cost,Love how little kids are going up against trained military soldiers 🤦🏻‍♂️,2025-12-17T04:38:35Z,0
positive,UgxFK5mXW9iuCmTtONJ4AaABAg,@vinousrose,Murray is the GOAT,2025-12-15T13:44:54Z,3
positive,Ugw4yQQn-aFP6aBC4QZ4AaABAg,@Sitckmanzux,"Best scenes in stranger things.
0:10 Up,side,down are sync to the scenes.
0:19 The squads standing from the Hawkins lab.
0:23 Max and Holly trying to escape from Henry mind.
0:30 Holy mother of god...
0:37 The Sister Duo.
0:48 IT'S SHOWTIME BABY!
0:53 GET'EM NANCY
1:06 GIVE BRO HIS FAVORITE MUSIC BRO.
1:06 RECURRENT PLS MAX.
1:25 U make Vecna upset rn 
1:36 NOT THE ""you die, I die"" LINE FROM SEASON 3.
1:45 Get'em y'all.",2025-12-16T13:31:54Z,1
negative,UgzoJfe2-BVTjeZhIBV4AaABAg,@nelk44,"""you die, i die"" how about no!",2025-12-15T14:36:26Z,1
neutral,Ugw1xwm67cxuWbSUYEh4AaABAg,@grqcehoran.,uh oh the rest of my comments teleported,2025-12-16T01:45:50Z,0
neutral,UgzI1GN22w-A1M9bFG54AaABAg,@GustavoLopes-yn2bk,They die the duffers die😂,2025-12-15T17:22:49Z,0
neutral,UgyNKzRsRZSvTStf58F4AaABAg,@MANGO.AUR4,Prediction Steve and Dustin say you die in die one of them or both of them are gonna die,2025-12-17T00:18:13Z,2
positive,Ugyy_Oq3xoWY34DMP0B4AaABAg,@aiboy131,Stranger things season 5 will not let me pass my exams 😭,2025-12-15T14:21:37Z,0
positive,UgxmzYplFKe6uJ3Msn94AaABAg,@dbwarriorog,HATS OFF TO THOSE WHO WATCHED IT IN LESS THAN 5 HOURS 🙏🙏🙏,2025-12-15T16:09:43Z,0
positive,UgwLHLJj8v-gc5HrJbB4AaABAg,@raykincaid684,Man I bet Diana Ross got cut a BIG check,2025-12-16T00:10:55Z,0
negative,Ugwd0bqtEWo9g40DXDF4AaABAg,@TrevorCopes-r8o,Shits going to be a total flop watch there is just to much to explain and explore Inna very limited amount of time that we have. For it to feel satisfying and wrapped up Inna bow. to many topics to unravel and explain.,2025-12-16T02:19:10Z,1
neutral,UgxVAkT_lva8Tr6gzRd4AaABAg,@ImHereFastPerson,"I dont want Steve to die, but out of all the characters in the show he’s literally the only death that makes sense bc of his character arc. If anyone else died I wouldn’t care. If he does die he better have a death worthy of remembrance and he better die fighting vecna",2025-12-15T23:21:37Z,1
neutral,Ugw4ZsGSiNZQWNrs8eR4AaABAg,@darealpopcat,Btw Netflix the YouTuber of groovy Gavin saw your Hawkins lab set early,2025-12-16T11:42:05Z,0
neutral,UgzgXUc2uEvEHbjE9_F4AaABAg,@YourAverageWolfFriend,"“You die, I die”
OR NO ONE DIES, AND NO ONE DIES🤬😱!!!!!!!!!!",2025-12-15T13:45:06Z,1
positive,UgwBVTi6ZHxeUrCuz1J4AaABAg,@raj_lakshmi_07,Yeahhhhhh.... Was waiting for thiss trailer every second 😭,2025-12-15T14:58:02Z,0
neutral,UgwoRbN4eValG43V4Wp4AaABAg,@bkskai,NO NO NO????????,2025-12-15T19:31:25Z,0
neutral,Ugw1r70wchR4M7rPzad4AaABAg,@Effievescent06,"We can't lose Steve & Dustin. They're bros for life. Dustin gotta live, for Eddie.",2025-12-15T14:39:10Z,3
positive,UgxsRr9LYo9d3Wh3fmR4AaABAg,@user-pq8gu9xq8js,Guys one thing i am gone to say that dustin brothers are going to cook😮,2025-12-16T14:05:47Z,0
neutral,Ugz0QpuhYB9nztBkj6V4AaABAg,@ljshoreslokal,"Problem is, too few are dying, lets trim down this bloated cast!! Lets go!",2025-12-15T22:29:38Z,1
positive,UgyiB0gigp_qk91XE5l4AaABAg,@AsherintheMood,"""This whole time, everything we've ever assumed about the Upside Down has been, dead wrong"" THIS BOUTTA BE PEAKKK OR MAYBE EVEN A GREAT PLOT TWIST",2025-12-15T17:54:06Z,4071
negative,UgxPW6KXN15_ybGM68p4AaABAg,@xxmrkaizoo,"""You die i die "": Sound s  bad ending ;(",2025-12-16T01:16:19Z,0
neutral,UgyWM7dYmsMvO1OTURd4AaABAg,@The_capybaraofc,Y'ALL ROBIN IS SO DEAD😭,2025-12-15T20:06:39Z,0
neutral,Ugy6HwjV6m7_TXlwxRF4AaABAg,@that.one.tobiano,PANICKING AHHHHH,2025-12-15T20:56:37Z,0
neutral,Ugz5it2nohza6ckJMVl4AaABAg,@The_Indian_Memer,WILL will die ;(,2025-12-18T13:56:50Z,1
neutral,UgyiKNI0vunn0k8YrTN4AaABAg,@mars.ৎ,I’m so scared 💔💔,2025-12-17T00:48:17Z,0
neutral,UgxFE70IKSEZz73iNkN4AaABAg,@sudalaimuthu3312,One last time,2025-12-15T20:27:32Z,0
positive,UgxnbVeGMlfyoIHFaAF4AaABAg,@galanorbrighteye,Love that the thumbnail just has a big ol' spoiler slapped on it if you haven't seen part one already. Some people are definitely gonna be waiting to binge the whole thing once all the episodes are out.,2025-12-15T21:34:44Z,0
neutral,UgwaNyEvfMOtInosDu14AaABAg,@emmanuelkarani8033,"1:36 Steve and Dustin😭😭😭""you die I die""..tell me that's not gonna happen😮‍💨😔",2025-12-15T13:43:44Z,4971
positive,UgxKSqg5UvTfdh0ZuRx4AaABAg,@nandnahhxx5785,IM SO READY OR AM I SKJXK,2025-12-16T06:43:57Z,0
neutral,UgzakKloKEg1Qzf7gQ54AaABAg,@Maddi_Arts,VIDEO KILLED THE RADIO STAR,2025-12-16T17:08:36Z,0
positive,UgzYJmVFDQgqPxsiyHh4AaABAg,@Therealpanz-x2l,IT WAS SO FIREEE DUDE🔥🔥🔥🔥🔥🔥🔥😭😭👍🏻,2025-12-16T04:56:24Z,0
positive,UgxRHOcTs-guyjXteO14AaABAg,@nerdgroot,*One More Season*,2025-12-16T13:31:40Z,0
neutral,UgyGG4lTwrulriOuPwF4AaABAg,@violentoninkgame,where is vecna on the last shot,2025-12-16T20:45:32Z,0
neutral,Ugz9N1LKytPmZUC700N4AaABAg,@nishadcodes6379,1:22 HENRY GLITCHES INTO VECNA 😱🔥,2025-12-15T18:32:59Z,2
neutral,UgzGAqQccrekarZqA-R4AaABAg,@AliM7mad-e4l,𝕄𝕒𝕟 𝕨𝕚𝕝𝕝 𝕡𝕠𝕨𝕖𝕣'𝕤 𝕚𝕤 𝕘𝕠𝕠𝕕,2025-12-16T07:25:52Z,0
neutral,UgxFu1i8rCs6pqVttK94AaABAg,@sinistr35,"Hey guys, did you know that this is not over by a long shot",2025-12-15T15:44:06Z,0
neutral,Ugxo1U-EQZutnCsgl4x4AaABAg,@Mini-c137,release schedule is extra grimey in true netflix fashion..,2025-12-16T23:35:00Z,0
neutral,UgxKX_FVID52QvOWVoR4AaABAg,@chithramani.93,We are waiting,2025-12-17T12:07:22Z,0
neutral,UgzadVm8ToIgg1vNQWZ4AaABAg,@sujith1302,"Steve: you die, i die
Dustin: you die, i die
Me: Both of you don't die!!!",2025-12-15T17:24:55Z,0
neutral,Ugz1CU51trkj7C2C4zJ4AaABAg,@ayagameplays,Badass Nancy vs. Military ?? Damn Walk em down wheeler,2025-12-15T15:02:52Z,0
neutral,UgxB25DpTUoHDbuk43p4AaABAg,@scozzbaggs9224,Holy can open portals,2025-12-15T17:47:20Z,0
,UgzHGkD6Spzzvz6nfxZ4AaABAg,@KaiJinWoo,Let's gooooooooo!!!!!!,2025-12-15T18:36:13Z,0
neutral,UgxHB7kL0LRgQM7eTxB4AaABAg,@potatoxbuildz,"“You die, I die” 

Netflix if anyone dies, so does my subscription (after the finale ofc)",2025-12-15T21:29:09Z,0
neutral,UgxoP2dhQqXIMErILg54AaABAg,@Oreo-w1p,I'm sorry....this is ONLY VOLUME 2??????? WHAT'S GONNA HAPPEN IN THE FINALE????,2025-12-15T17:04:09Z,0
positive,Ugwiv0uCC94dTXw1T7J4AaABAg,@birdiesanders1872,I wouldn't be here if it wasn't for waiting for this show. Now I'm 20 with a kid otw :),2025-12-25T19:42:37Z,0
positive,UgzcvnAIXsi7ybv9isF4AaABAg,@Lucky21ew,YEESSSSs,2025-12-15T13:43:41Z,0
positive,UgzXpwbYoTtCWtLXFv14AaABAg,@hotwheeler07,WOAAHHH,2025-12-16T04:35:36Z,0
positive,UgxE7tT4dwhiiKQtJoR4AaABAg,@MateBeridze-v8z,ayoooooooooooo,2025-12-15T14:09:20Z,0
neutral,UgwGTaS9kCSsxtAhvxB4AaABAg,@harshagarwal8170,Steve will dieeeee …….. noooooooooooooooooooo,2025-12-17T08:14:30Z,0
neutral,UgyFuy_75pbvzYvmh7h4AaABAg,@pezconsuerte,"everyone complaining about Vecna repeating ""it's time"" over and over, but idk it feels like he's just been hinting at his plan all along: it is TIME, it's all about TIME. His main thing is being obsessed with clocks and time, and either building or figuring out an already existing tesseract lol",2025-12-15T20:58:31Z,2446
positive,Ugybi3BwGSO4jcmwLF54AaABAg,@Cels_7,"First time watching Stranger Things! 🎬
Idk where I was in those strange things Era's, but here I am, just finished the season 1-3 and will start season 4 next week bcs it's just an amazing series that I want it to take it slow since I heard that the s5 is the last season, the end of the show! 😭🥹🎬💯

Yup! Believe me or not, idk where I was but I finally got curious and heard enough from the hype of season 5 that I finally started stranger things s1 just this this month and just got done in s3, and ofcourse s4 will be my next. It got me so hooked! It's such an amazing series, it's like it's season, it got getting amazing. Just became my fave! Perks of watching this so late or being late the hype is that I won't need to wait for yrs for these seasons to come, but downbad is that, bcs I'm new and late, it's kinda sad that already ending the show in the newest season (5), it's like as being new to the club, I won't be getting another new season of it 😭 it's kinda sad that it's ending now that's why I'm taking it slow watching the s4 before getting to last season ahhh love this show so much",2025-12-15T18:29:24Z,0
neutral,Ugzmbwv5S_pNC-6owNZ4AaABAg,@DkfkdkJddkdjdj,Omg,2025-12-16T11:00:12Z,0
neutral,UgysRrHKtx0tQLOJAIx4AaABAg,@Sanj0401,"The tears I had when I heard Steve and Dustin said, “if you die, i die” noooo i cant istg if they die im suing 😭😭",2025-12-15T19:39:28Z,0
positive,UgyePwfEPCxm1pvBPk54AaABAg,@kam2384,GOOOOOSEBUMPS,2025-12-15T14:52:14Z,0
neutral,UgypWFcsiQhOxIpffUt4AaABAg,@VanshkumarPathak-k3c,You die I die 🙂,2025-12-19T12:51:58Z,0
neutral,Ugwvh-JA8mS99OphPtR4AaABAg,@peedeepuck6738,"you die, i die??
no way you are doing that, please",2025-12-15T17:12:03Z,1
positive,UgzvNPwv14y8RTxOQfF4AaABAg,@AnnieGodfrey1998,"Omg omg omg 🤩🤩
And Johnathan finally goes to the upside down!!!!",2025-12-16T04:48:21Z,0
positive,UgxR23hUJgPVYIdfoQh4AaABAg,@YourgirlGG5810,And why did I I think the first half was intense but now NEVER MIND,2025-12-16T06:34:36Z,0
positive,UgxFTRVPG29AyAF2VIh4AaABAg,@nehakiroula7602,"Steve- you die, I die
Dustin- you die, I die
Me- IF YOU BOTH DIE, I WILL FOR SURE DIE!!!!",2025-12-15T14:54:28Z,0
neutral,UgyVeXZJlVnLzHFQlF94AaABAg,@JacksonPayne-t8w,So the russo brothers on jimmy falons show had steve fall so i think the clip where someone is falling is steve,2025-12-18T23:20:05Z,0
neutral,UgwmauAf1R4zULqeQs14AaABAg,@happyacooli1910,DID HOLLY OPEN A PORTAL BY HERSELF LIKE MIKE FORESHADOWED??,2025-12-16T05:30:52Z,0
neutral,Ugwpe8FiYXiXhg0JNap4AaABAg,@BlackStarASMR,"Will dies.
Mike dies.
Eleven dies.
Steve dies.
Dustin dies.
Nancy dies.
Jonathan dies.
Robin dies.
Max dies.
Lucas dies.
Vickie survives and saves the world.",2025-12-15T15:31:05Z,0
neutral,Ugx4gZSYIVH5-6SSFS94AaABAg,@KenanAljedi,1:36 The Hell if anything happened to Steve and Dustin! 👿,2025-12-15T14:02:13Z,17
neutral,Ugy0aMrk2FYNWe29dlJ4AaABAg,@awa_mariaaaa,“You die I die” no you die WE DIE !!,2025-12-15T14:34:08Z,0
neutral,UgyppVtKcO4PxV35Dmh4AaABAg,@TsheringDorjiphuntsho-w2c,Fahhhhh and also vecna picking his skin type,2025-12-25T04:30:10Z,1
neutral,UgwHz95yaCnpQdzoozh4AaABAg,@anwerkhan8508,If you die I diee😭😭😭😭😭got me dyingg noo 😭,2025-12-16T01:07:53Z,1
positive,UgzgqKo5O-uo8V4VAdN4AaABAg,@harmo._onyy,IM EARLY !!! YAY!!! ∩^ω^∩,2025-12-15T14:56:22Z,0
neutral,UgzTmdO9cwzItkRLQAh4AaABAg,@Millie-n2f,"Hawkins heroes who watched the video 3 hrs after it was released, gather here",2025-12-15T15:10:56Z,2
neutral,UgxWAyq5P_3YnjYkNux4AaABAg,@VixenGoddess7,"Steve: ""You die, I die.""
Dustin: ""You die, I die.""

Me: ""OH, HELL NO! HOW ABOUT NEITHER OF YOU!""",2025-12-15T14:26:42Z,0
neutral,UgySzavaSwHk2aItybp4AaABAg,@mrbread1545,"You die in die? 


.... You die I die",2025-12-19T00:09:53Z,0
neutral,Ugyyq8X_Ro0NLtQ0GtR4AaABAg,@san.ubs.player,"i've got a crazy prediction, i bet you holly will accidentally call vecna ""henry"" or ""vecna"" instead of mr whatsit, then vecna will know now that max has been talking to her",2025-12-15T17:22:38Z,0
neutral,UgyV_hIQ6K20vufnrzx4AaABAg,@mustafaujjainwala1712,"Steve - You die I die
Dustin - You die I die
Me - Please Nobody fuking die 😭",2025-12-15T14:36:02Z,0
neutral,UgzD4z1e4OGhZZsxDTN4AaABAg,@AnaVerastegui-b3n,pleas nerflix don t buy warner broders pleeeeeeeeeas,2025-12-16T13:45:51Z,0
neutral,Ugyp71t1UDpIbgjonoZ4AaABAg,@J44444zz,More Max scenes? I prayed for times like this😭😭,2025-12-15T14:03:23Z,0
negative,Ugw9GMkEKxb6ffbeCUF4AaABAg,@Smokedship,Well vol 1 was absolute trash except for the last scene. Its like the writers brains had fallen out and they still haven’t found them yet….,2025-12-15T18:58:32Z,0
neutral,Ugz6rNxE_XD3b8nlJ6J4AaABAg,@bharatpurrj0539,Please I am waiting for season 6😢😢😢,2025-12-15T15:37:58Z,0
neutral,UgyEFDJysMBi-B_0xk94AaABAg,@ThePhantomsGarden,"Welcome back Kali
❤❤❤❤❤❤❤❤",2025-12-24T08:32:09Z,1
neutral,UgzC_BXYXGinUgpcHQV4AaABAg,@22CaptainAmerica,i hope hopper will adopt kali as well,2025-12-15T21:59:20Z,0
neutral,UgwNKrhw7mhpoRR0VEJ4AaABAg,@Official_LuccaMOTION,"If either Dustin or Steve dies, a war will begin",2025-12-15T14:47:23Z,6
neutral,UgxWO5DXPt7XwMeqMaN4AaABAg,@vedantparmar8483,Well Steve is dying now from this trailer for sure,2025-12-15T14:32:41Z,0
positive,UgyZlSoyOZxPO7R7ooB4AaABAg,@linosolar,i am speechless i have goosebumps i am excited i am smiling this is so amazing im so excited for this more than christmas,2025-12-15T14:22:55Z,0
